ID	altura	diametro	inclinación	especie	origen	brotes
5292	6	22	0	Ficus	Exótico	4
5456	7	25	22	Acacia	Exótico	6
5750	8	18	6	Jacarandá	Nativo/Autóctono	6
5865	7	12	0	Álamo	Exótico	2
6058	12	52	0	Palo borracho	Nativo/Autóctono	6
6236	16	30	0	Álamo	Exótico	5
6545	12	33	0	Palo borracho	Nativo/Autóctono	4
6787	9	24	10	Ficus	Exótico	3
7223	11	43	0	Casuarina	Exótico	3
7337	16	40	7	Jacarandá	Nativo/Autóctono	6
7349	10	42	10	Casuarina	Exótico	3
7413	7	84	4	Palo borracho	Nativo/Autóctono	5
7443	30	180	0	Ficus	Exótico	4
7719	9	55	4	Palo borracho	Nativo/Autóctono	5
7734	13	71	0	Palo borracho	Nativo/Autóctono	6
7874	8	36	0	Palo borracho	Nativo/Autóctono	4
8503	12	33	10	Jacarandá	Nativo/Autóctono	5
8559	20	44	15	Casuarina	Exótico	3
8736	22	53	0	Jacarandá	Nativo/Autóctono	4
8934	23	96	11	Eucalipto	Exótico	2
9144	7	15	14	Fresno	Exótico	4
9284	15	60	0	Fresno	Exótico	3
9930	15	58	0	Palo borracho	Nativo/Autóctono	5
10026	27	98	0	Eucalipto	Exótico	3
10106	7	30	4	Palo borracho	Nativo/Autóctono	6
10430	6	30	0	Álamo	Exótico	2
10449	4	13	0	Ficus	Exótico	3
10636	12	20	0	Álamo	Exótico	3
10875	10	62	0	Palo borracho	Nativo/Autóctono	3
10897	25	30	0	Álamo	Exótico	3
11112	12	65	5	Palo borracho	Nativo/Autóctono	4
11757	13	25	0	Álamo	Exótico	3
11895	16	12	25	Jacarandá	Nativo/Autóctono	6
12022	18	60	0	Palo borracho	Nativo/Autóctono	2
12221	25	98	0	Eucalipto	Exótico	4
12337	12	30	0	Casuarina	Exótico	4
12503	8	20	0	Casuarina	Exótico	2
12683	14	28	10	Álamo	Exótico	2
12744	14	42	0	Casuarina	Exótico	1
12772	19	60	5	Casuarina	Exótico	2
12817	18	25	5	Fresno	Exótico	4
12901	16	34	0	Casuarina	Exótico	4
13315	25	5	9	Fresno	Exótico	1
13464	6	5	0	Álamo	Exótico	4
13896	7	12	0	Álamo	Exótico	2
13901	7	8	0	Álamo	Exótico	3
13960	10	16	0	Álamo	Exótico	3
13997	15	31	0	Álamo	Exótico	5
14007	13	33	0	Álamo	Exótico	3
14021	13	30	0	Álamo	Exótico	3
14200	21	36	0	Eucalipto	Exótico	3
14520	20	60	0	Eucalipto	Exótico	3
14565	6	48	19	Eucalipto	Exótico	3
14590	11	36	0	Fresno	Exótico	2
14857	12	55	0	Palo borracho	Nativo/Autóctono	5
14960	18	35	0	Fresno	Exótico	3
15033	20	82	0	Eucalipto	Exótico	2
15284	4	16	13	Ceibo	Nativo/Autóctono	4
15317	13	116	0	Palo borracho	Nativo/Autóctono	6
15341	17	70	0	Palo borracho	Nativo/Autóctono	3
15390	5	14	0	Ficus	Exótico	2
15473	16	25	0	Álamo	Exótico	5
15827	8	41	0	Jacarandá	Nativo/Autóctono	2
15912	14	24	0	Álamo	Exótico	1
15954	18	17	8	Ficus	Exótico	5
16091	20	78	0	Casuarina	Exótico	4
16121	10	28	25	Jacarandá	Nativo/Autóctono	4
16419	14	52	0	Fresno	Exótico	2
16452	13	24	0	Casuarina	Exótico	2
16503	19	50	0	Fresno	Exótico	4
16579	9	18	0	Fresno	Exótico	4
16667	16	46	0	Fresno	Exótico	3
17203	34	145	0	Eucalipto	Exótico	3
17393	6	11	0	Fresno	Exótico	3
17423	2	11	0	Ficus	Exótico	2
17529	2	3	0	Fresno	Exótico	3
18035	9	37	0	Palo borracho	Nativo/Autóctono	5
18150	16	28	0	Palo borracho	Nativo/Autóctono	3
18276	11	48	8	Casuarina	Exótico	1
18288	13	99	0	Palo borracho	Nativo/Autóctono	4
18439	6	12	4	Jacarandá	Nativo/Autóctono	5
18732	18	40	0	Álamo	Exótico	2
19144	17	87	21	Palo borracho	Nativo/Autóctono	6
19251	12	53	0	Jacarandá	Nativo/Autóctono	4
19519	17	30	0	Jacarandá	Nativo/Autóctono	6
19600	11	57	0	Casuarina	Exótico	4
19935	7	31	3	Ceibo	Nativo/Autóctono	5
19987	18	70	10	Palo borracho	Nativo/Autóctono	5
20118	5	8	6	Jacarandá	Nativo/Autóctono	2
20227	17	13	0	Acacia	Exótico	4
20290	5	11	10	Jacarandá	Nativo/Autóctono	5
20398	3	8	0	Acacia	Nativo/Autóctono	4
20651	10	44	0	Palo borracho	Nativo/Autóctono	6
20969	9	70	0	Palo borracho	Nativo/Autóctono	7
21211	17	40	0	Casuarina	Exótico	2
21238	8	34	50	Ceibo	Nativo/Autóctono	5
21249	20	32	10	Casuarina	Exótico	3
21798	8	19	6	Ceibo	Nativo/Autóctono	5
21830	19	32	0	Palo borracho	Nativo/Autóctono	6
21874	6	50	0	Palo borracho	Nativo/Autóctono	5
21926	10	34	5	Fresno	Exótico	3
22070	10	31	13	Fresno	Exótico	4
22219	3	8	0	Jacarandá	Nativo/Autóctono	6
22220	18	7	0	Álamo	Exótico	3
22582	7	15	0	Acacia	Exótico	3
22703	15	32	0	Álamo	Exótico	3
22728	27	92	0	Eucalipto	Exótico	4
22777	10	28	0	Álamo	Exótico	4
22809	18	15	0	Álamo	Exótico	3
22814	31	90	3	Eucalipto	Exótico	4
23228	15	14	0	Acacia	Exótico	3
23237	25	30	0	Álamo	Exótico	2
23493	22	30	0	Álamo	Exótico	3
23670	22	49	0	Casuarina	Exótico	3
24064	4	3	3	Álamo	Exótico	3
24135	7	34	0	Ficus	Exótico	2
24200	2	4	0	Fresno	Exótico	1
24283	6	20	0	Jacarandá	Nativo/Autóctono	4
24287	6	40	0	Palo borracho	Nativo/Autóctono	5
24389	8	20	0	Fresno	Exótico	3
24460	26	40	0	Acacia	Exótico	1
24613	2	5	0	Palo borracho	Nativo/Autóctono	5
24711	11	23	0	Álamo	Exótico	2
24713	9	18	0	Casuarina	Exótico	2
24747	11	19	9	Casuarina	Exótico	3
24798	11	25	0	Casuarina	Exótico	3
25165	2	8	0	Ficus	Exótico	3
25277	12	30	0	Casuarina	Exótico	3
25595	10	5	0	Álamo	Exótico	2
25685	7	48	0	Palo borracho	Nativo/Autóctono	4
25715	25	60	0	Álamo	Exótico	4
25791	20	40	0	Acacia	Nativo/Autóctono	4
25858	7	30	0	Ceibo	Nativo/Autóctono	6
26031	15	25	6	Ceibo	Nativo/Autóctono	4
26618	7	7	0	Álamo	Exótico	3
26623	8	7	0	Álamo	Exótico	4
26703	17	50	0	Eucalipto	Exótico	4
26719	18	10	0	Álamo	Exótico	1
26794	13	32	0	Álamo	Exótico	4
26916	32	68	12	Eucalipto	Exótico	3
27030	19	65	4	Eucalipto	Exótico	4
27340	10	53	0	Palo borracho	Nativo/Autóctono	7
27399	21	67	25	Eucalipto	Exótico	5
27673	15	42	3	Jacarandá	Nativo/Autóctono	5
27721	10	74	0	Palo borracho	Nativo/Autóctono	5
27804	3	4	18	Acacia	Exótico	3
27828	8	45	10	Ceibo	Nativo/Autóctono	5
27837	10	10	0	Palo borracho	Nativo/Autóctono	5
27994	17	56	0	Palo borracho	Nativo/Autóctono	5
28062	6	24	0	Palo borracho	Nativo/Autóctono	4
28532	20	35	0	Casuarina	Exótico	3
28546	12	62	0	Palo borracho	Nativo/Autóctono	5
28767	16	106	3	Ceibo	Nativo/Autóctono	5
28906	20	80	0	Casuarina	Exótico	4
29113	12	62	0	Palo borracho	Nativo/Autóctono	5
29389	9	45	0	Fresno	Exótico	3
29862	2	4	0	Ceibo	Nativo/Autóctono	6
29970	15	45	23	Jacarandá	Nativo/Autóctono	5
30059	10	60	0	Palo borracho	Nativo/Autóctono	2
30101	16	43	0	Casuarina	Exótico	1
30152	15	35	0	Fresno	Exótico	4
30155	15	35	0	Fresno	Exótico	4
30232	13	50	0	Palo borracho	Nativo/Autóctono	4
30446	6	18	0	Ficus	Exótico	3
30531	18	50	5	Casuarina	Exótico	4
30657	6	13	0	Fresno	Exótico	4
30856	18	21	0	Álamo	Exótico	3
30955	8	17	0	Jacarandá	Nativo/Autóctono	3
31043	13	79	28	Acacia	Exótico	4
31136	24	84	0	Casuarina	Exótico	4
31274	2	7	0	Palo borracho	Nativo/Autóctono	4
31451	10	50	0	Álamo	Exótico	2
31536	11	36	0	Palo borracho	Nativo/Autóctono	6
31938	19	82	0	Eucalipto	Exótico	4
32274	13	27	9	Jacarandá	Nativo/Autóctono	8
32492	16	89	0	Palo borracho	Nativo/Autóctono	5
33026	6	30	0	Ficus	Exótico	3
33178	18	35	4	Ficus	Exótico	2
33232	10	42	22	Jacarandá	Nativo/Autóctono	4
33323	17	65	0	Fresno	Exótico	3
33426	19	52	5	Ceibo	Nativo/Autóctono	5
34018	6	12	12	Acacia	Exótico	2
34339	16	30	21	Fresno	Exótico	4
34716	12	48	0	Fresno	Exótico	2
34885	18	70	0	Casuarina	Exótico	2
34922	15	7	5	Fresno	Exótico	3
35280	22	73	4	Álamo	Exótico	5
35289	12	45	5	Fresno	Exótico	2
35442	27	50	0	Eucalipto	Exótico	3
35511	10	25	0	Palo borracho	Nativo/Autóctono	7
35658	10	30	0	Álamo	Exótico	2
35895	7	70	0	Ceibo	Nativo/Autóctono	8
36283	8	38	0	Fresno	Exótico	3
36479	31	92	0	Eucalipto	Exótico	5
36875	19	42	0	Palo borracho	Nativo/Autóctono	4
37159	4	13	10	Acacia	Exótico	4
37288	15	10	0	Jacarandá	Nativo/Autóctono	6
37539	12	25	0	Casuarina	Exótico	4
37619	10	13	0	Casuarina	Exótico	2
37744	11	12	5	Álamo	Exótico	4
37861	8	16	0	Casuarina	Exótico	4
37987	9	44	0	Casuarina	Exótico	3
38235	7	115	7	Palo borracho	Nativo/Autóctono	4
38542	15	45	7	Jacarandá	Nativo/Autóctono	8
38602	25	38	0	Jacarandá	Nativo/Autóctono	5
38776	15	26	0	Ceibo	Nativo/Autóctono	3
38836	15	31	0	Álamo	Exótico	3
39195	25	65	0	Eucalipto	Exótico	2
39226	25	65	0	Eucalipto	Exótico	1
39275	22	50	0	Eucalipto	Exótico	3
39377	21	35	0	Eucalipto	Exótico	4
39461	21	35	0	Eucalipto	Exótico	4
39600	21	32	0	Eucalipto	Exótico	2
39641	21	32	0	Eucalipto	Exótico	3
39761	21	32	0	Eucalipto	Exótico	3
39792	21	32	0	Eucalipto	Exótico	1
40083	13	15	0	Eucalipto	Exótico	3
40105	28	165	0	Eucalipto	Exótico	3
40476	11	38	0	Eucalipto	Exótico	4
40589	35	90	0	Eucalipto	Exótico	1
40675	15	33	20	Eucalipto	Exótico	3
40790	15	50	0	Eucalipto	Exótico	2
40948	14	84	0	Palo borracho	Nativo/Autóctono	4
40960	13	46	12	Jacarandá	Nativo/Autóctono	3
41055	3	25	0	Palo borracho	Nativo/Autóctono	6
41098	21	75	8	Eucalipto	Exótico	2
41157	13	43	0	Jacarandá	Nativo/Autóctono	7
41372	16	55	0	Fresno	Exótico	3
41527	10	41	0	Fresno	Exótico	3
41552	16	19	8	Casuarina	Exótico	2
41607	9	30	0	Fresno	Exótico	2
41608	22	70	0	Palo borracho	Nativo/Autóctono	4
41745	10	28	0	Palo borracho	Nativo/Autóctono	6
41847	15	40	0	Casuarina	Exótico	3
41990	15	14	0	Palo borracho	Nativo/Autóctono	4
42018	7	28	0	Ficus	Exótico	4
42086	15	55	0	Palo borracho	Nativo/Autóctono	6
42693	25	30	0	Casuarina	Exótico	3
42758	14	50	0	Fresno	Exótico	2
42944	11	42	0	Fresno	Exótico	2
43291	11	58	6	Fresno	Exótico	3
43318	13	32	0	Fresno	Exótico	3
43467	10	38	7	Fresno	Exótico	4
43564	26	78	0	Eucalipto	Exótico	2
43669	14	54	0	Palo borracho	Nativo/Autóctono	5
44007	17	49	0	Casuarina	Exótico	3
44755	12	4	0	Palo borracho	Nativo/Autóctono	5
44872	15	12	0	Jacarandá	Nativo/Autóctono	8
44877	9	15	8	Jacarandá	Nativo/Autóctono	4
45061	25	100	0	Palo borracho	Nativo/Autóctono	4
45451	9	6	14	Acacia	Exótico	2
45506	19	60	0	Casuarina	Exótico	3
45613	12	35	10	Jacarandá	Nativo/Autóctono	6
45909	14	52	20	Jacarandá	Nativo/Autóctono	6
46091	15	53	4	Álamo	Exótico	3
46153	21	110	0	Palo borracho	Nativo/Autóctono	5
46317	3	6	0	Palo borracho	Nativo/Autóctono	3
46366	17	25	0	Palo borracho	Nativo/Autóctono	7
46489	3	7	0	Acacia	Exótico	3
46555	7	34	3	Palo borracho	Nativo/Autóctono	6
46888	6	15	0	Acacia	Exótico	1
47174	30	90	0	Álamo	Exótico	3
47391	13	36	0	Palo borracho	Nativo/Autóctono	5
47540	22	120	4	Fresno	Exótico	3
47674	2	11	0	Acacia	Exótico	3
47877	12	30	35	Jacarandá	Nativo/Autóctono	5
48078	11	65	0	Palo borracho	Nativo/Autóctono	5
48097	12	44	0	Jacarandá	Nativo/Autóctono	6
48136	20	50	15	Jacarandá	Nativo/Autóctono	6
48245	9	57	9	Fresno	Exótico	2
48296	9	26	0	Palo borracho	Nativo/Autóctono	6
48684	1	30	0	Acacia	Exótico	3
48708	10	76	15	Ceibo	Nativo/Autóctono	8
48748	12	26	15	Álamo	Exótico	3
48753	16	25	0	Palo borracho	Nativo/Autóctono	2
48791	10	70	0	Palo borracho	Nativo/Autóctono	6
48839	7	15	8	Acacia	Nativo/Autóctono	8
48968	25	60	0	Eucalipto	Exótico	3
48996	26	50	0	Eucalipto	Exótico	4
49064	8	23	0	Álamo	Exótico	4
49271	6	25	10	Jacarandá	Nativo/Autóctono	5
49278	6	45	0	Ceibo	Nativo/Autóctono	4
49294	6	30	0	Jacarandá	Nativo/Autóctono	4
49334	17	64	0	Eucalipto	Exótico	1
49502	7	25	0	Acacia	Exótico	2
49504	16	25	0	Ceibo	Nativo/Autóctono	6
49506	6	25	0	Ceibo	Nativo/Autóctono	4
49575	10	67	0	Palo borracho	Nativo/Autóctono	7
49588	13	39	0	Fresno	Exótico	2
49594	20	15	0	Álamo	Exótico	5
49617	7	21	5	Jacarandá	Nativo/Autóctono	4
49761	25	40	0	Álamo	Exótico	3
49802	17	74	0	Eucalipto	Exótico	1
50226	17	24	20	Jacarandá	Nativo/Autóctono	5
50270	10	33	10	Palo borracho	Nativo/Autóctono	7
50273	20	61	7	Palo borracho	Nativo/Autóctono	4
50618	15	32	0	Fresno	Exótico	3
50621	19	58	15	Álamo	Exótico	4
50712	16	16	0	Jacarandá	Nativo/Autóctono	5
50857	18	16	0	Casuarina	Exótico	3
50884	15	50	0	Álamo	Exótico	4
51133	18	20	0	Casuarina	Exótico	3
51237	7	28	0	Ficus	Exótico	3
51243	14	28	0	Casuarina	Exótico	5
51249	12	38	0	Casuarina	Exótico	4
51396	18	32	0	Casuarina	Exótico	3
51436	12	30	0	Casuarina	Exótico	3
